idx|tags|query|parameter
1||SELECT * FROM quote WHERE date=MIN(date) AND time<'0D8'|
2||SELECT * FROM trade WHERE seq=0|
3|||
4||SELECT * FROM trade WHERE date=MIN(date) AND time BETWEEN '0D10:00:00' AND '0D10:00:10'|
5||SELECT * FROM quote WHERE sym = $1 AND time BETWEEN '0D08:30' AND '0D16:30'|anInfreqInstr
6||SELECT date, sym, time, price, size, stop, cond, ex FROM trade WHERE date=MIN(date) AND source = 'N'|
7||SELECT sym, time, (bid + ask) / 2 AS mid FROM quote WHERE sym = $1|mostFreqInstr
8||SELECT sym, time, (bid + ask) / 2 AS mid FROM (SELECT * FROM quote WHERE sym = $1)|mostFreqInstr
9||SELECT time, bid FROM quote WHERE sym = $1 ORDER BY bid DESC|mostFreqInstr
10||SELECT date, sym, time, bid, ask, bsize, asize, cond, ex FROM quote WHERE sym = $1|aFreqInstr
11||SELECT date, sym, time, bid, ask, bsize, asize, cond, ex FROM quote WHERE sym IN $1 AND 2000<bsize+asize|fivehundredInfreqInstrs
12||SELECT AVG((bid + ask) / 2) AS avgMid FROM quote WHERE sym = $1|anInfreqInstr
13||SELECT xbar('0D00:10', time), AVG((bid + ask) / 2) AS avgMid, ex FROM quote WHERE sym = $1 GROUP BY xbar('0D00:10', time), ex|anInfreqInstr
14|||
15|||
16||SELECT xbar('0D00:10', time), AVG(ask - bid) AS avgSpread FROM quote WHERE sym = $1 GROUP BY xbar('0D00:10', time)|aFreqInstr
17||SELECT sym, xbar('0D00:10', time), AVG(ask - bid) AS avgSpread FROM quote WHERE sym IN $1 GROUP BY sym, xbar('0D00:10', time)|hundredInstrs
18|||
19|||
20|||
21|||
22|||
23|||
24|||
25|||
26|||
27|||
28|||
29|||
30|||
31|||
32|||
33|||
34|||
35|||
36|||
37|||
38|||
39|||
40|||
41|||
42|||
43|||
44|||
45|||
46|||
47|||
